Brands,Category,Example_Youtube_Link,Internatoina vs. no,Y or N comments,
Discount Tire (1),Tire retailer,https://www.youtube.com/watch?v=2zgfLxM4BKc,,,
Cottonelle (2),Toilet Paper,https://www.youtube.com/watch?v=mwQ1metUv2o,,,
,,https://youtu.be/ozV1veBF9Pg,,,
PENSKE,Transportation,https://www.youtube.com/watch?v=yzwtsvWW1ZE,,,
,,https://youtu.be/-1r1lRBxPEc,,,
,,https://youtu.be/7wxn1l7rCsM,,,
U-Haul (1),Transportation,https://www.youtube.com/watch?v=znp9CNPnSw0,,,
Flight Centre (1),Travel Agency,https://www.youtube.com/watch?v=Tpic431sS3k,"this is from NZ, same as UK channel. No US one",,
Spectrum,"TV, Internet and Voice",https://www.youtube.com/watch?v=PGkbFdPdqo0,,,
,,https://youtu.be/mNjc5Ll4wlY,,,
,,https://youtu.be/K7Nn7LUzpsI,,,
King Price (1),insurance,https://youtu.be/M35_uhXFbmE,south africa,,
Bumble,"electronics, tech",https://youtu.be/OQuCMm9QkeA,UK,,
,,https://youtu.be/HIZ9OEmZj2M,,,
official Frito-Lay,,https://youtu.be/aqOvJ_9YVa4,US,,
,,https://youtu.be/UtOia-mrl0A,,,
,,https://youtu.be/y8GN25O9wfY,,,
Cadbury (1),candy,https://youtu.be/kU9bENZ_0Uc,UK,,
Guinness,beer,https://youtu.be/GWVW5p62sO8,this youtube channel did not exist anymore..,,
Portal from Facebook,,https://youtu.be/xONayh2vzb4,"only no. of views, no for likes/dislikes",,
Pfizer,medicine,https://www.youtube.com/watch?v=nzj0rRCyalM,,,
,,https://www.youtube.com/watch?v=RaLr0ELM494,,,
,,https://www.youtube.com/watch?v=Xl0tEfLve1U,,,
Clear (1),hair care,https://youtu.be/sq0mA1K5B0U,SG,,
Adobe (1),software,https://youtu.be/8xZWuwxSYhY,,,
